sample_index,ground_truth,dataset_split,attribute,attribute_data,{Vi},{Ve},{Se},{Vi ∪ Ve},{Vi ∪ Se},{Ve ∪ Se},{Vi ∪ Ve ∪ Se}
1,Setosa,unknown,SL,5.1,0.0,0.0,0.8033,0.0,0.0,0.1716,0.0251
1,Setosa,unknown,SW,3.5,0.0,0.0,0.6811,0.0,0.2563,0.0,0.0626
1,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Setosa,unknown,SL,4.9,0.0,0.0,0.8941,0.0,0.0,0.0933,0.0126
2,Setosa,unknown,SW,3.0,0.4417,0.0,0.0,0.3354,0.0,0.0,0.2229
2,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,Setosa,unknown,SL,4.7,0.0,0.0,0.9385,0.0,0.0,0.0543,0.0072
3,Setosa,unknown,SW,3.2,0.4191,0.0,0.0,0.0,0.377,0.0,0.2039
3,Setosa,unknown,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,Setosa,unknown,SL,4.6,0.0,0.0,0.9513,0.0,0.0,0.0429,0.0058
4,Setosa,unknown,SW,3.1,0.44,0.0,0.0,0.0,0.2922,0.0,0.2678
4,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,Setosa,unknown,SL,5.0,0.0,0.0,0.8566,0.0,0.0,0.1259,0.0175
5,Setosa,unknown,SW,3.6,0.0,0.0,0.772,0.0,0.1911,0.0,0.0369
5,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,Setosa,unknown,SL,5.4,0.0,0.0,0.5149,0.0,0.0,0.409,0.0761
6,Setosa,unknown,SW,3.9,0.0,0.0,0.9391,0.0,0.0557,0.0,0.0052
6,Setosa,unknown,PL,1.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,Setosa,unknown,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,Setosa,unknown,SL,4.6,0.0,0.0,0.9513,0.0,0.0,0.0429,0.0058
7,Setosa,unknown,SW,3.4,0.0,0.0,0.5791,0.0,0.3217,0.0,0.0992
7,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,Setosa,unknown,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,Setosa,unknown,SL,5.0,0.0,0.0,0.8566,0.0,0.0,0.1259,0.0175
8,Setosa,unknown,SW,3.4,0.0,0.0,0.5791,0.0,0.3217,0.0,0.0992
8,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,Setosa,unknown,SL,4.4,0.0,0.0,0.9666,0.0,0.0,0.0292,0.0042
9,Setosa,unknown,SW,2.9,0.4274,0.0,0.0,0.4039,0.0,0.0,0.1687
9,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,Setosa,unknown,SL,4.9,0.0,0.0,0.8941,0.0,0.0,0.0933,0.0126
10,Setosa,unknown,SW,3.1,0.44,0.0,0.0,0.0,0.2922,0.0,0.2678
10,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,Setosa,unknown,PW,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,Setosa,unknown,SL,5.4,0.0,0.0,0.5149,0.0,0.0,0.409,0.0761
11,Setosa,unknown,SW,3.7,0.0,0.0,0.8457,0.0,0.1339,0.0,0.0204
11,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,Setosa,unknown,SL,4.8,0.0,0.0,0.9203,0.0,0.0,0.0704,0.0093
12,Setosa,unknown,SW,3.4,0.0,0.0,0.5791,0.0,0.3217,0.0,0.0992
12,Setosa,unknown,PL,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,Setosa,unknown,SL,4.8,0.0,0.0,0.9203,0.0,0.0,0.0704,0.0093
13,Setosa,unknown,SW,3.0,0.4417,0.0,0.0,0.3354,0.0,0.0,0.2229
13,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,Setosa,unknown,PW,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,Setosa,unknown,SL,4.3,0.0,0.0,0.9709,0.0,0.0,0.0252,0.0039
14,Setosa,unknown,SW,3.0,0.4417,0.0,0.0,0.3354,0.0,0.0,0.2229
14,Setosa,unknown,PL,1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,Setosa,unknown,PW,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,Setosa,unknown,SL,5.8,0.0,0.6845,0.0,0.2194,0.0,0.0,0.0961
15,Setosa,unknown,SW,4.0,0.0,0.0,0.9639,0.0,0.0336,0.0,0.0025
15,Setosa,unknown,PL,1.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,Setosa,unknown,SL,5.7,0.0,0.6544,0.0,0.1788,0.0,0.0,0.1668
16,Setosa,unknown,SW,4.4,0.0,0.0,0.9968,0.0,0.0031,0.0,0.0001
16,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,Setosa,unknown,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,Setosa,unknown,SL,5.4,0.0,0.0,0.5149,0.0,0.0,0.409,0.0761
17,Setosa,unknown,SW,3.9,0.0,0.0,0.9391,0.0,0.0557,0.0,0.0052
17,Setosa,unknown,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,Setosa,unknown,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,Setosa,unknown,SL,5.1,0.0,0.0,0.8033,0.0,0.0,0.1716,0.0251
18,Setosa,unknown,SW,3.5,0.0,0.0,0.6811,0.0,0.2563,0.0,0.0626
18,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,Setosa,unknown,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,Setosa,unknown,SL,5.7,0.0,0.6544,0.0,0.1788,0.0,0.0,0.1668
19,Setosa,unknown,SW,3.8,0.0,0.0,0.9008,0.0,0.0886,0.0,0.0106
19,Setosa,unknown,PL,1.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,Setosa,unknown,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,Setosa,unknown,SL,5.1,0.0,0.0,0.8033,0.0,0.0,0.1716,0.0251
20,Setosa,unknown,SW,3.8,0.0,0.0,0.9008,0.0,0.0886,0.0,0.0106
20,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,Setosa,unknown,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,Setosa,unknown,SL,5.4,0.0,0.0,0.5149,0.0,0.0,0.409,0.0761
21,Setosa,unknown,SW,3.4,0.0,0.0,0.5791,0.0,0.3217,0.0,0.0992
21,Setosa,unknown,PL,1.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,Setosa,unknown,SL,5.1,0.0,0.0,0.8033,0.0,0.0,0.1716,0.0251
22,Setosa,unknown,SW,3.7,0.0,0.0,0.8457,0.0,0.1339,0.0,0.0204
22,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,Setosa,unknown,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,Setosa,unknown,SL,4.6,0.0,0.0,0.9513,0.0,0.0,0.0429,0.0058
23,Setosa,unknown,SW,3.6,0.0,0.0,0.772,0.0,0.1911,0.0,0.0369
23,Setosa,unknown,PL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,Setosa,unknown,SL,5.1,0.0,0.0,0.8033,0.0,0.0,0.1716,0.0251
24,Setosa,unknown,SW,3.3,0.0,0.0,0.4748,0.0,0.3784,0.0,0.1468
24,Setosa,unknown,PL,1.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,Setosa,unknown,PW,0.5,0.0,0.0,0.9983,0.0,0.0,0.0017,0.0
25,Setosa,unknown,SL,4.8,0.0,0.0,0.9203,0.0,0.0,0.0704,0.0093
25,Setosa,unknown,SW,3.4,0.0,0.0,0.5791,0.0,0.3217,0.0,0.0992
25,Setosa,unknown,PL,1.9,0.0,0.0,0.9998,0.0,0.0,0.0002,0.0
25,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,Setosa,unknown,SL,5.0,0.0,0.0,0.8566,0.0,0.0,0.1259,0.0175
26,Setosa,unknown,SW,3.0,0.4417,0.0,0.0,0.3354,0.0,0.0,0.2229
26,Setosa,unknown,PL,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,Setosa,unknown,SL,5.0,0.0,0.0,0.8566,0.0,0.0,0.1259,0.0175
27,Setosa,unknown,SW,3.4,0.0,0.0,0.5791,0.0,0.3217,0.0,0.0992
27,Setosa,unknown,PL,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,Setosa,unknown,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,Setosa,unknown,SL,5.2,0.0,0.0,0.7295,0.0,0.0,0.234,0.0365
28,Setosa,unknown,SW,3.5,0.0,0.0,0.6811,0.0,0.2563,0.0,0.0626
28,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,Setosa,unknown,SL,5.2,0.0,0.0,0.7295,0.0,0.0,0.234,0.0365
29,Setosa,unknown,SW,3.4,0.0,0.0,0.5791,0.0,0.3217,0.0,0.0992
29,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,Setosa,unknown,SL,4.7,0.0,0.0,0.9385,0.0,0.0,0.0543,0.0072
30,Setosa,unknown,SW,3.2,0.4191,0.0,0.0,0.0,0.377,0.0,0.2039
30,Setosa,unknown,PL,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31,Setosa,unknown,SL,4.8,0.0,0.0,0.9203,0.0,0.0,0.0704,0.0093
31,Setosa,unknown,SW,3.1,0.44,0.0,0.0,0.0,0.2922,0.0,0.2678
31,Setosa,unknown,PL,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,Setosa,unknown,SL,5.4,0.0,0.0,0.5149,0.0,0.0,0.409,0.0761
32,Setosa,unknown,SW,3.4,0.0,0.0,0.5791,0.0,0.3217,0.0,0.0992
32,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,Setosa,unknown,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,Setosa,unknown,SL,5.2,0.0,0.0,0.7295,0.0,0.0,0.234,0.0365
33,Setosa,unknown,SW,4.1,0.0,0.0,0.9795,0.0,0.0194,0.0,0.0011
33,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,Setosa,unknown,PW,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34,Setosa,unknown,SL,5.5,0.0,0.5073,0.0,0.0,0.0,0.3871,0.1056
34,Setosa,unknown,SW,4.2,0.0,0.0,0.9886,0.0,0.0109,0.0,0.0005
34,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,Setosa,unknown,SL,4.9,0.0,0.0,0.8941,0.0,0.0,0.0933,0.0126
35,Setosa,unknown,SW,3.1,0.44,0.0,0.0,0.0,0.2922,0.0,0.2678
35,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,Setosa,unknown,PW,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,Setosa,unknown,SL,5.0,0.0,0.0,0.8566,0.0,0.0,0.1259,0.0175
36,Setosa,unknown,SW,3.2,0.4191,0.0,0.0,0.0,0.377,0.0,0.2039
36,Setosa,unknown,PL,1.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,Setosa,unknown,SL,5.5,0.0,0.5073,0.0,0.0,0.0,0.3871,0.1056
37,Setosa,unknown,SW,3.5,0.0,0.0,0.6811,0.0,0.2563,0.0,0.0626
37,Setosa,unknown,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,Setosa,unknown,SL,4.9,0.0,0.0,0.8941,0.0,0.0,0.0933,0.0126
38,Setosa,unknown,SW,3.1,0.44,0.0,0.0,0.0,0.2922,0.0,0.2678
38,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,Setosa,unknown,PW,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,Setosa,unknown,SL,4.4,0.0,0.0,0.9666,0.0,0.0,0.0292,0.0042
39,Setosa,unknown,SW,3.0,0.4417,0.0,0.0,0.3354,0.0,0.0,0.2229
39,Setosa,unknown,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,Setosa,unknown,SL,5.1,0.0,0.0,0.8033,0.0,0.0,0.1716,0.0251
40,Setosa,unknown,SW,3.4,0.0,0.0,0.5791,0.0,0.3217,0.0,0.0992
40,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,Setosa,unknown,SL,5.0,0.0,0.0,0.8566,0.0,0.0,0.1259,0.0175
41,Setosa,unknown,SW,3.5,0.0,0.0,0.6811,0.0,0.2563,0.0,0.0626
41,Setosa,unknown,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,Setosa,unknown,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,Setosa,unknown,SL,4.5,0.0,0.0,0.9603,0.0,0.0,0.0349,0.0048
42,Setosa,unknown,SW,2.3,0.0,0.7389,0.0,0.2241,0.0,0.0,0.037
42,Setosa,unknown,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,Setosa,unknown,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,Setosa,unknown,SL,4.4,0.0,0.0,0.9666,0.0,0.0,0.0292,0.0042
43,Setosa,unknown,SW,3.2,0.4191,0.0,0.0,0.0,0.377,0.0,0.2039
43,Setosa,unknown,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,Setosa,unknown,SL,5.0,0.0,0.0,0.8566,0.0,0.0,0.1259,0.0175
44,Setosa,unknown,SW,3.5,0.0,0.0,0.6811,0.0,0.2563,0.0,0.0626
44,Setosa,unknown,PL,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,Setosa,unknown,PW,0.6,0.0,0.0,0.8824,0.0,0.0,0.1176,0.0
45,Setosa,unknown,SL,5.1,0.0,0.0,0.8033,0.0,0.0,0.1716,0.0251
45,Setosa,unknown,SW,3.8,0.0,0.0,0.9008,0.0,0.0886,0.0,0.0106
45,Setosa,unknown,PL,1.9,0.0,0.0,0.9998,0.0,0.0,0.0002,0.0
45,Setosa,unknown,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,Setosa,unknown,SL,4.8,0.0,0.0,0.9203,0.0,0.0,0.0704,0.0093
46,Setosa,unknown,SW,3.0,0.4417,0.0,0.0,0.3354,0.0,0.0,0.2229
46,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,Setosa,unknown,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,Setosa,unknown,SL,5.1,0.0,0.0,0.8033,0.0,0.0,0.1716,0.0251
47,Setosa,unknown,SW,3.8,0.0,0.0,0.9008,0.0,0.0886,0.0,0.0106
47,Setosa,unknown,PL,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,Setosa,unknown,SL,4.6,0.0,0.0,0.9513,0.0,0.0,0.0429,0.0058
48,Setosa,unknown,SW,3.2,0.4191,0.0,0.0,0.0,0.377,0.0,0.2039
48,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,Setosa,unknown,SL,5.3,0.0,0.0,0.6326,0.0,0.0,0.3143,0.0531
49,Setosa,unknown,SW,3.7,0.0,0.0,0.8457,0.0,0.1339,0.0,0.0204
49,Setosa,unknown,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,Setosa,unknown,SL,5.0,0.0,0.0,0.8566,0.0,0.0,0.1259,0.0175
50,Setosa,unknown,SW,3.3,0.0,0.0,0.4748,0.0,0.3784,0.0,0.1468
50,Setosa,unknown,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,Setosa,unknown,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51,Versicolor,unknown,SL,7.0,0.8827,0.0,0.0,0.1173,0.0,0.0,0.0
51,Versicolor,unknown,SW,3.2,0.4191,0.0,0.0,0.0,0.377,0.0,0.2039
51,Versicolor,unknown,PL,4.7,0.0,0.7055,0.0,0.2945,0.0,0.0,0.0
51,Versicolor,unknown,PW,1.4,0.0,0.9604,0.0,0.0396,0.0,0.0,0.0
52,Versicolor,unknown,SL,6.4,0.5382,0.0,0.0,0.4609,0.0,0.0,0.0009
52,Versicolor,unknown,SW,3.2,0.4191,0.0,0.0,0.0,0.377,0.0,0.2039
52,Versicolor,unknown,PL,4.5,0.0,0.8488,0.0,0.1512,0.0,0.0,0.0
52,Versicolor,unknown,PW,1.5,0.0,0.8859,0.0,0.1141,0.0,0.0,0.0
53,Versicolor,unknown,SL,6.9,0.8413,0.0,0.0,0.1587,0.0,0.0,0.0
53,Versicolor,unknown,SW,3.1,0.44,0.0,0.0,0.0,0.2922,0.0,0.2678
53,Versicolor,unknown,PL,4.9,0.5055,0.0,0.0,0.4945,0.0,0.0,0.0
53,Versicolor,unknown,PW,1.5,0.0,0.8859,0.0,0.1141,0.0,0.0,0.0
